"id","fecha","tirar","lugar"
1,"10 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
2,"09 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
3,"08 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
4,"08 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
5,"07 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
6,"04 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
7,"03 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
8,"02 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
9,"01 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
10,"25 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Colima, Colima"
11,"24 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, ","Ciudad de México"
12,"24 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, ","Palacio Nacional"
13,"23 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, ","Palacio Nacional"
14,"23 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
15,"22 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
16,"20 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Chilpancingo de los Bravo, Guerrero"
17,"19 de febrero de 2022","Palabras del presidente Andrés Manuel López Obrador ","Ramos Arizpe, Coahuila"
18,"19 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Ramos Arizpe, Coahuila"
19,"18 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Ciudad Juárez, Chihuahua"
20,"17 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Tijuana, Baja California"
21,"16 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
22,"15 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
23,"14 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
24,"13 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Guaymas, Sonora"
25,"12 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Hermosillo, Sonora"
26,"11 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Yécora, Sonora"
27,"11 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Hermosillo, Sonora"
28,"10 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador
","Ciudad de México"
29,"10 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
30,"09 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Castillo de Chapultepec, Ciudad de México"
31,"09 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
32,"08 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
33,"07 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
34,"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Polotitlán, Estado de México"
35,"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Querétaro"
36,"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Santiago de Querétaro, Querétaro"
37,"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Apizaco, Tlaxcala"
38,"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Santa Cruz Tlaxcala, Tlaxcala"
39,"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Panotla, Tlaxcala"
40,"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Ciudad Sahagún, Hidalgo."
41,"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Cuautepec de Hinojosa, Hidalgo"
42,"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Hidalgo"
43,"01 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
44,"31 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
45,"29 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Benito Juárez, Quintana Roo"
46,"28 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
47,"27 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
48,"26 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
49,"25 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
50,"24 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
51,"21 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
52,"20 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
53,"19 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
54,"18 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
55,"17 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
56,"16 de enero de 2022","Evento ","Palacio de Bellas Artes"
57,"16 de enero de 2022","Acto realizado ","Palacio de Bellas Artes"
63,"10 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
64,"07 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
65,"06 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
66,"05 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
67,"04 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
68,"03 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
69,"30 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
70,"29 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
71,"28 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
72,"27 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
73,"23 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional."
74,"22 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional."
75,"21 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional."
76,"20 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional."
77,"17 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Villahermosa, Tabasco"
78,"16 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
79,"15 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
80,"14 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
81,"13 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
82,"11 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Tijuana, Baja California"
83,"10 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Ciudad Juárez, Chihuahua"
84,"10 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Chihuahua, Chihuahua"
85,"10 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Chihuahua, Chihuahua"
86,"09 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional."
87,"08 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Tepic, Nayarit"
88,"07 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Tepic, Nayarit"
89,"07 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Zapopan, Jalisco"
90,"06 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
91,"01 de diciembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Zócalo de la Ciudad de México"
92,"30 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Antiguo Palacio del Ayuntamiento"
93,"29 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Oaxaca"
94,"29 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Santa Lucía del Camino, Oaxaca"
95,"26 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Irapuato, Guanajuato"
96,"25 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Aguascalientes, Aguascalientes"
97,"25 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Zacatecas, Zacatecas"
98,"24 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Zacatecas, Zacatecas"
99,"24 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
100,"24 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
101,"23 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Ciudad de México"
102,"23 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional, Ciudad de México"
103,"23 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
104,"22 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
105,"20 de noviembre de 2021","Palabras del presidente Andrés Manuel López Obrador ","Ciudad de México"
106,"20 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador","Ciudad de México"
107,"18 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador, su homólogo de Estados Unidos, Joe Biden, y el primer ministro de Canadá, Justin Trudeau, ","Washington D.C., Estados Unidos"
108,"18 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador y su homólogo de Estados Unidos, Joe Biden, ","Washington, D. C."
109,"18 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador y la vicepresidenta de Estados Unidos, Kamala Harris, ","Washington D.C., Estados Unidos"
110,"18 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador y el primer ministro de Canadá, Justin Trudeau, ","Washington D.C., Estados Unidos"
111,"17 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Cancún, Quintana Roo"
112,"16 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
113,"16 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
114,"15 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
115,"12 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Hermosillo, Sonora"
116,"11 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Cananea, Sonora"
117,"11 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Colima, Colima"
118,"10 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Colima, Colima"
119,"10 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
120,"10 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
121,"09 de noviembre de 2021","New York, United States","Nueva York, Estados Unidos"
122,"09 de noviembre de 2021","‘Mantenimiento de la paz y de la seguridad internacionales: exclusión, desigualdad y conflicto’.","Nueva York, Estados Unidos"
123,"09 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Nueva York, Estados Unidos"
124,"09 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Nueva York, Estados Unidos"
125,"08 de noviembre de 2021","Acto encabezado por el presidente Andrés Manuel López Obrador ","Palacio Nacional"
