"fecha","lugar"
"10 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"09 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"08 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"08 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"07 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"04 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"03 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"02 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"01 de marzo de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"25 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Colima, Colima"
"24 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, desde la Ciudad de México
"
"24 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, desde Palacio Nacional
"
"23 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador, desde Palacio Nacional"
"23 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"22 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"20 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Chilpancingo de los Bravo, Guerrero"
"19 de febrero de 2022","Palabras del presidente Andrés Manuel López Obrador desde Ramos Arizpe, Coahuila"
"19 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Ramos Arizpe, Coahuila"
"18 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Ciudad Juárez, Chihuahua"
"17 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Tijuana, Baja California
"
"16 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"15 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"14 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"13 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Guaymas, Sonora"
"12 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Hermosillo, Sonora"
"11 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Yécora, Sonora"
"11 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Hermosillo, Sonora"
"10 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador
"
"10 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"09 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde el Castillo de Chapultepec, Ciudad de México"
"09 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"08 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"07 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Polotitlán, Estado de México
"
"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Querétaro"
"05 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Santiago de Querétaro, Querétaro
"
"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Apizaco, Tlaxcala"
"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Santa Cruz Tlaxcala, Tlaxcala"
"04 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Panotla, Tlaxcala"
"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Ciudad Sahagún, Hidalgo."
"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Cuautepec de Hinojosa, Hidalgo"
"03 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Hidalgo"
"01 de febrero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"31 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"29 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Benito Juárez, Quintana Roo"
"28 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"27 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"26 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"25 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"24 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"21 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"20 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"19 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"18 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional"
"17 de enero de 2022","Acto encabezado por el presidente Andrés Manuel López Obrador desde Palacio Nacional
"
"16 de enero de 2022","Evento realizado en el Palacio de Bellas Artes"
"16 de enero de 2022","Acto realizado desde el Palacio de Bellas Artes"
